Sex,Length,Weight
Male,150,2000
,,
,,
,,
,,
Female,150,2500
Male,120,1000
,,
,,
Female,120,1000
Female,150,2250
Male,80,400
,,
Female,130,1500
Male,100,850
,,
,,
Female,130,1650
Male,90,570
,,
Female,90,540
Male,80,400
Female,70,270
Male,120,1100
Female,70,250
Female,150,2000
Female,80,460
Female,130,1550
Female,75,300
Female,130,1600
Female,75,300
Female,120,1200
Female,85,455
Male,70,260
Female,75,300
Female,120,1300
Male,70,280
Male,135,1500
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
Male,150,1500
Male,80,400
,,
Male,75,300
,,
,,
Male,75,300
Male,70,250
,,
Male,70,250
,,
Male,150,1500
,,
Male,150,1500
,,
Male,70,280
,,
,,
,,
,,
,,
,,
,,
,,
,,
Male,150,2200
,,
,,
,,
,,
,,
,,
,,
,,
,,
Female,80,400
Female,120,1250
Female,130,1350
Female,130,1500
Female,150,1850
Female,130,1650
Female,75,350
Male,80,400
Male,70,250
Male,70,250
Male,70,250
Male,85,450
Male,150,1700
Male,130,1500
Male,150,2000
Male,120,1250
Male,120,1000
Male,80,400
Male,70,250
Male,70,280
Male,70,250
Male,70,250
Male,90,550
Male,80,400
Male,80,400
,80,400
,85,500
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
Male,100,
Male,100,
Male,95,
Male,80,
Male,100,
Male,80,
Male,80,
Male,80,
Male,65,
Female,80,
Male,75,
Male,75,
Male,75,
Female,70,
Female,70,
Female,70,
,,
,,
,,
,,
,,
Female,120,
Female,80,
Female,75,
Female,65,
Female,100,
Female,80,
Female,100,
Male,100,
Male,100,
Male,90,
Male,80,
Male,75,
Male,75,
Male,120,
Male,100,
Male,100,
Male,80,
Male,80,
Male,80,
Male,75,
Male,75,
Male,70,
Male,70,
Male,70,
Male,100,
Male,95,
Male,80,
Male,80,
Male,70,
Male,65,
Male,70,
Male,70,
Male,120,
Male,120,
Male,80,
Male,75,
Male,70,
Male,120,
Male,80,
Male,75,
Male,75,
Male,120,
Male,150,
Male,150,
Male,130,
Male,95,
,,
,,
,,
,,
,,
,,
,,
,,
Male,80,
Female,70,
Female,70,300
Female,70,300
Female,70,290
,85,500
Male,90,600
Male,75,300
Male,75,300
,,
,,
Male,120,1000
Female,80,500
Male,60,250
Male,70,350
Male,60,250
Male,120,1000
Male,80,500
Female,130,1300
Female,100,700
Male,75,350
Male,65,250
Male,75,350
Male,65,250
Male,70,300
Male,130,1100
Male,100,640
Male,70,280
Male,70,250
Female,80,575
Male,120,1100
Male,80,600
Male,75,400
Male,75,395
,,
,,
,,
,,
,,
Female,100,1000
Male,120,1300
Male,150,2500
Male,150,1600
Male,130,1000
Male,95,500
,80,430
,70,300
,70,280
Female,76,300
Male,94,650
Male,68,250
Female,68,250
Female,88,450
Female,71,300
Female,76,300
Female,91,600
Female,86,450
